Process,Periodicity,Status_Today,Status_Legend,Remarks,SourceFile
Management Fees Calculation,Monthly,PDTE,nan,119 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -24022025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,56 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -24022025.xlsx
Ratios Job,Monthly,PDTE,nan,163 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -24022025.xlsx
Sections Job,Monthly,PDTE,nan,1 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -24022025.xlsx
Investment Policy Job Default,Monthly,OK,nan,1 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -24022025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,666,Control de ejecución de WA y procesos diarios - Megacompliance -24022025.xlsx
Derivative Price Control Process,Daily,OK,nan,666,Control de ejecución de WA y procesos diarios - Megacompliance -24022025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -24022025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -24022025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:107 N° of TA in MegaCompliance D-1:171,Control de ejecución de WA y procesos diarios - Megacompliance -24022025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -24022025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,930  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -24022025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -24022025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -24022025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -24022025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -24022025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -24022025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11309,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 15463,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 121,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 770,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Reconciliation_Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
AutomaticDashboard,Monthly,OK,nan,688 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Depositary Fees Calculation,Monthly,OK,nan,6 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Management Fees Calculation,Monthly,OK,nan,7 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Success Fees Calculation,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Ratios Job,Monthly,OK,nan,70 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Sections Job,Monthly,OK,nan,7  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Investment Policy Job Default,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,681,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Derivative Price Control Process,Daily,OK,nan,681,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
FX Rate Migration,Daily,PDTE,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:102 N° of TA in MegaCompliance D-1:150,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 1 N° of clients in MegaCompliance D-1:1,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,644  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -24032025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11110,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5316,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 317,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 2368,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Reconciliation_Job,Monthly,OK,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
AutomaticDashboard,Monthly,OK,nan,670 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,1 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,1 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,1 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Ratios Job,Monthly,PDTE,nan,69 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Sections Job,Monthly,PDTE,nan,1 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Investment Policy Job Default,Monthly,OK,nan,1 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Non Derivative Price Control Process,Daily,PDTE,nan,666,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Derivative Price Control Process,Daily,PDTE,nan,666,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:70 N° of TA in MegaCompliance D-1:71,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,848  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -25022025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11311,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5383,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 42,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 761,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Reconciliation_Job,Monthly,OK,nan,13 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
AutomaticDashboard,Monthly,OK,nan,688 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Depositary Fees Calculation,Monthly,OK,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,7 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Ratios Job,Monthly,OK,nan,77 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Sections Job,Monthly,PDTE,nan,7  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Investment Policy Job Default,Monthly,OK,nan,7 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,681,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Derivative Price Control Process,Daily,OK,nan,681,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
FX Rate Migration,Daily,PDTE,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:104 N° of TA in MegaCompliance D-1:104,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 1 N° of clients in MegaCompliance D-1:1,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,755  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -25032025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11118,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5326,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 218,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 2347,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Reconciliation_Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
AutomaticDashboard,Monthly,OK,nan,670 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,3 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,3 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,3 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Ratios Job,Monthly,PDTE,nan,70 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Sections Job,Monthly,PDTE,nan,3 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Investment Policy Job Default,Monthly,OK,nan,3 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Non Derivative Price Control Process,Daily,PDTE,nan,663,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Derivative Price Control Process,Daily,PDTE,nan,663,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:133 N° of TA in MegaCompliance D-1:198,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,1270  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -26022025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11338,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5390,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 53,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 771,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Reconciliation_Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
AutomaticDashboard,Monthly,OK,nan,688 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,1 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Ratios Job,Monthly,OK,nan,71 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Sections Job,Monthly,PDTE,nan,1  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Investment Policy Job Default,Monthly,OK,nan,1 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,681,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Derivative Price Control Process,Daily,OK,nan,681,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
FX Rate Migration,Daily,PDTE,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:634 N° of TA in MegaCompliance D-1:760,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,901  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -26032025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 10840,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5254,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 120,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 1846,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Reconciliation_Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
AutomaticDashboard,Monthly,OK,nan,672 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,3  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Management Fees Calculation,Monthly,PDTE,nan,3  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Success Fees Calculation,Monthly,PDTE,nan,0  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Ratios Job,Monthly,PDTE,nan,97 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Sections Job,Monthly,PDTE,nan,1 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Investment Policy Job Default,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Non Derivative Price Control Process,Daily,PDTE,nan,217,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Derivative Price Control Process,Daily,PDTE,nan,30,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
FX Rate Migration,Daily,PDTE,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:98 N° of TA in MegaCompliance D-1:193,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,874  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -27012025 .xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11140,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5333,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 56,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 2345,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Reconciliation_Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
AutomaticDashboard,Monthly,OK,nan,670 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Ratios Job,Monthly,PDTE,nan,72 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Sections Job,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Investment Policy Job Default,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,663,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Derivative Price Control Process,Daily,OK,nan,663,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:72 N° of TA in MegaCompliance D-1:219,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,813  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -27022025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11381,Control de ejecución de WA y procesos diarios - Megacompliance -27032025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5395,Control de ejecución de WA y procesos diarios - Megacompliance -27032025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 40,Control de ejecución de WA y procesos diarios - Megacompliance -27032025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 774,Control de ejecución de WA y procesos diarios - Megacompliance -27032025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -27032025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -27032025.xlsx
Reconciliation_Job,Monthly,OK,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27032025.xlsx
AutomaticDashboard,Monthly,OK,nan,688 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -27032025.xlsx
Depositary Fees Calculation,Monthly,OK,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27032025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,1 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27032025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27032025.xlsx
Ratios Job,Monthly,OK,nan,71 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27032025.xlsx
Sections Job,Monthly,PDTE,nan,1  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27032025.xlsx
Investment Policy Job Default,Monthly,OK,nan,1 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -27032025.xlsx
